0,1,2,3,4
Erick Barkley,712000,2000,2001,Portland Trail Blazers
Mark Madsen,707000,2000,2001,Los Angeles Lakers
Darrick Martin,673000,2000,2001,Sacramento Kings
Emanual Davis,611000,2000,2001,Seattle SuperSonics
Eddie Robinson,600000,2000,2001,Charlotte Hornets
John Amaechi,598000,2000,2001,Orlando Magic
Shammond Williams,550000,2000,2001,Seattle SuperSonics
Kevin Edwards,548000,2000,2001,Vancouver Grizzlies
Mahmoud Abdul-Rauf,548000,2000,2001,Vancouver Grizzlies
David Benoit,548000,2000,2001,Utah Jazz
David Wingate,548000,2000,2001,Seattle SuperSonics
Mario Elie,548000,2000,2001,Phoenix Suns
Felton Spencer,548000,2000,2001,New York Knicks
Don Reid,548000,2000,2001,Orlando Magic
Monty Williams,548000,2000,2001,Orlando Magic
Shawnelle Scott,548000,2000,2001,San Antonio Spurs
Terry Davis,548000,2000,2001,Denver Nuggets
Stacey Augmon,548000,2000,2001,Portland Trail Blazers
Dee Brown,548000,2000,2001,Orlando Magic
Matt Maloney,548000,2000,2001,Atlanta Hawks
Antonio Harvey,548000,2000,2001,Portland Trail Blazers
Jeff McInnis,523000,2000,2001,Los Angeles Clippers
Tyus Edney,523000,2000,2001,Indiana Pacers
Troy Hudson,523000,2000,2001,Orlando Magic
Moochie Norris,523000,2000,2001,Houston Rockets
Ryan Bowen,508000,2000,2001,Denver Nuggets
Laron Profit,508000,2000,2001,Washington Wizards
Rick Brunson,507000,2000,2001,New York Knicks
Bruno Sundov,498000,2000,2001,Indiana Pacers
Kornel David,498000,2000,2001,Toronto Raptors
Mark Pope,498000,2000,2001,Milwaukee Bucks
Adrian Griffin,498000,2000,2001,Boston Celtics
Mark Bryant,458000,2000,2001,Dallas Mavericks
Calvin Booth,423000,2000,2001,Washington Wizards
Todd MacCulloch,423000,2000,2001,Philadelphia 76ers
Mark Blount,423000,2000,2001,Boston Celtics
Rafer Alston,423000,2000,2001,Milwaukee Bucks
Evan Eschmeyer,423000,2000,2001,New Jersey Nets
Chris Herren,423000,2000,2001,Boston Celtics
Elliot Perry,390000,2000,2001,Phoenix Suns
Kevin Ollie,363000,2000,2001,Philadelphia 76ers
Milt Palacio,326000,2000,2001,Boston Celtics
Eduardo Najera,316000,2000,2001,Dallas Mavericks
Mike Smith,316000,2000,2001,Washington Wizards
Michael Redd,316000,2000,2001,Milwaukee Bucks
